categoria,valor,nota
1. Arte visual,489,"art,sketch,comics,fantasy,humanart,illustration,artist,artwork,manga,conceptart,humor,myart,humanartist,comic,synastry,synastrycomic,astrology,aries,ganador,nick,snake,snakes,capricorn,biker,mangaart,synastrymanga,satire,ripscottadams,dilbert,politicalmemes,politics,politicalcartoon,politicalcartoonist,cartoon,cartoons,handdrawn,politicalcartoons,conservative,libertarian,commentary,design,artbook,demon,darkart,creature,artistsoninstagram,instaart,painting"
2. IA creativa,287,"ai,aivideo,creativeai,chatgpt,aiethics,tiktok,grok,buildinpublic,genai,artificialintelligence,anime"
3. Gaming viral,142,"fyp,roblox,fortnite,ブレインロット,content,shorts,trending,real,williamest"
4. Innovación IA,138,"innovation,aitools,aiinnovation,videogeneration,aidesign,aitrends,generativeai,futureofai,techtrends"
5. Marketing digital,106,"contentcreation,digitalmarketing,aimarketing,futureofcontent,contentstrategy,aicommunity,aiworkflow,aiwriting,techinnovation,contentcreators,digitalwriting"
6. Arte y personajes,91,"oc,characterdesign,smallartist,doodle,artistontwitter,artmoots"
7. Cripto-politica,88,"trump,crypto,elonmusk,memecoin,aifun,helevier,invest,doge,binance,troll,elon,usa,bullish"
8. Diseño digital,65,"visualstorytelling,aifashion,iacreator,ugc,aianimation,digitaldesign,fashiontech,aiinfluencer"
9. Comic tradicional,52,"comicart,originalart,artinvestment,traditionalmedia,collectibles,arte,industriadelcomic,arteconomy,physicalart,cgc,inkandpaper,artmarket,nophotoshop"
10. Anti IA,37,"noai,microslop"
11. Fotografia & IA,37,"aiphotography,aiimages,digitalcreators,photomagic,ɪɴsᴛᴀʀᴇᴇʟs,winteraesthetic,christmasedit,christmasvibes,aitransformation,voymageai,voymage"
12. Galería IA,12,aiartworks
